Owner,Repo,Description,URL,Language,Stars,Open Issues Count,Created At,Updated At,Size,Has Downloads,YML Count,YML Files
grafana,grafana/loki,"Like Prometheus, but for logs.",https://github.com/grafana/loki,Go,21279,1373,2018-04-16T09:22:48Z,2024-02-18T18:10:21Z,251516,True,25,"append-release-notes.yml, backport.yml, checks.yml, dependabot_reviewer.yml, doc-validator.yml, helm-ci.yml, helm-release.yaml, issue_commands.yml, labeler.yml, metrics-collector.yml, minor-release-pr.yml, nix-ci.yaml, operator-bundle.yaml, operator-images.yaml, operator-scorecard.yaml, operator.yaml, patch-release-pr.yml, publish-technical-documentation-next.yml, publish-technical-documentation-release.yml, release.yml, secret-scanning.yml, snyk-pr-comment.yml, snyk.yml, syft-sbom-ci.yml, trivy-pr-comment.yml"
nextauthjs,nextauthjs/next-auth,Authentication for the Web.,https://github.com/nextauthjs/next-auth,TypeScript,21261,318,2018-01-27T12:28:16Z,2024-02-18T16:58:06Z,66731,True,5,"codeql-analysis.yml, pr-labeler.yml, release.yml, sync-examples.yml, triage.yml"
nrwl,nrwl/nx,Smart Monorepos · Fast CI,https://github.com/nrwl/nx,TypeScript,21243,852,2017-08-11T18:50:23Z,2024-02-18T18:17:02Z,162977,True,9,"do-not-merge.yml, e2e-matrix.yml, e2e-windows.yml, generate-embeddings.yml, issue-notifier.yml, lock-threads.yml, npm-audit.yml, publish.yml, schedule-stale.yml"
kovidgoyal,kovidgoyal/kitty,"Cross-platform, fast, feature-rich, GPU based terminal",https://github.com/kovidgoyal/kitty,Python,21240,22,2016-10-16T14:48:28Z,2024-02-18T16:00:12Z,47911,True,2,"ci.yml, codeql-analysis.yml"
posquit0,posquit0/Awesome-CV,:page_facing_up: Awesome CV is LaTeX template for your outstanding job application,https://github.com/posquit0/Awesome-CV,TeX,21234,164,2015-01-18T08:42:23Z,2024-02-18T18:32:30Z,16529,True,5,"integration.yaml, main.yml, pull-request-labeler.yaml, sync-labels.yaml, welcome.yaml"
necolas,necolas/react-native-web,Cross-platform React UI packages,https://github.com/necolas/react-native-web,JavaScript,21229,112,2015-06-09T19:25:38Z,2024-02-18T18:18:22Z,95129,True,4,"labels.yml, performance.yml, react-integration.yml, tests.yml"
mifi,mifi/lossless-cut,The swiss army knife of lossless video/audio editing,https://github.com/mifi/lossless-cut,TypeScript,21225,184,2016-10-30T10:49:56Z,2024-02-18T18:14:08Z,17820,True,2,"build.yml, pr.yml"
go-micro,go-micro/go-micro,A Go microservices framework,https://github.com/go-micro/go-micro,Go,21202,88,2015-01-13T23:30:18Z,2024-02-18T09:12:27Z,14468,True,1,tests.yaml
cookiecutter,cookiecutter/cookiecutter,"A cross-platform command-line utility that creates projects from cookiecutters (project templates), e.g. Python package projects, C projects.",https://github.com/cookiecutter/cookiecutter,Python,21200,235,2013-07-14T18:31:22Z,2024-02-18T10:23:53Z,3076,True,3,"drafter.yml, pip-publish.yml, tests.yml"
chalk,chalk/chalk,🖍 Terminal string styling done right,https://github.com/chalk/chalk,JavaScript,21199,4,2013-08-03T00:20:12Z,2024-02-18T15:31:58Z,1060,True,1,main.yml
shap,shap/shap,A game theoretic approach to explain the output of any machine learning model.,https://github.com/shap/shap,Jupyter Notebook,21175,1489,2016-11-22T19:17:08Z,2024-02-18T14:24:56Z,274007,True,6,"build_wheels.yml, codeql-analysis.yml, run_notebooks.yml, run_tests.yml, stale_issues.yml, test_js.yml"
jhipster,jhipster/generator-jhipster,"JHipster is a development platform to quickly generate, develop, & deploy modern web applications & microservice architectures.",https://github.com/jhipster/generator-jhipster,TypeScript,21128,129,2013-10-21T20:07:22Z,2024-02-18T10:06:18Z,155645,True,22,"angular.yml, auto-merge.yml, cache.yml, copyright-update.yml, depsreview.yml, devserver.yml, docker-image-publish-github-registry.yml, generator-database-changelog-liquibase.yml, generator-generate-blueprint.yml, generator.yml, generators.yml, gradle-wrapper-validation.yml, issue-check.yml, label-cleanup.yml, labeler.yml, linked-issue-check.yml, lock-maintenance.yml, react.yml, release-drafter.yml, stale.yml, triage.yml, vue.yml"
